country,count
United States,8012
"Korea, Republic of",2938
China,2260
Germany,1155
United Kingdom,1079
France,922
Netherlands,820
India,506
Singapore,501
Japan,498
Brazil,406
Russian Federation,393
Canada,386
"Iran, Islamic Republic of",218
Thailand,217
Australia,194
South Africa,178
Turkey,166
Hong Kong,163
Malaysia,159
Indonesia,156
Spain,139
Vietnam,132
Argentina,123
Ireland,118
Italy,107
Mexico,95
Poland,92
Sweden,92
Ukraine,86
Taiwan,84
Czech Republic,82
Romania,77
Slovakia,71
Colombia,69
Norway,68
Portugal,65
Belgium,62
Austria,59
Switzerland,57
Europe,52
Finland,52
Hungary,51
Philippines,43
Chile,42
Ecuador,39
Egypt,35
Latvia,35
British Indian Ocean Territory,35
Bulgaria,34
Saudi Arabia,30
Costa Rica,29
Israel,26
Bangladesh,24
Nigeria,23
Iraq,23
Greece,22
Serbia,21
Lithuania,20
Kazakhstan,19
Tunisia,18
Denmark,18
United Arab Emirates,17
Peru,15
Kenya,14
New Zealand,14
Saint Helena,14
Estonia,13
Uganda,13
Algeria,13
"Moldova, Republic of",12
Iceland,12
Belarus,11
Venezuela,10
Luxembourg,10
Asia/Pacific Region,10
Croatia,9
Macedonia,9
Qatar,9
Bosnia and Herzegovina,7
Lebanon,7
Bolivia,7
Pakistan,7
Guatemala,7
Slovenia,7
Dominican Republic,6
Albania,6
Morocco,6
Macau,6
Malta,6
El Salvador,5
Namibia,5
Puerto Rico,5
Belize,5
Panama,5
"Tanzania, United Republic of",5
Cyprus,5
Reunion,4
Yemen,4
Honduras,4
Uruguay,4
Zimbabwe,4
Bahrain,4
Oman,4
Brunei Darussalam,4
Ethiopia,3
Zambia,3
Paraguay,3
Central African Republic,3
Nepal,3
Cuba,3
Jamaica,3
Georgia,3
Guadeloupe,3
Seychelles,3
Cambodia,3
"Virgin Islands, U.S.",2
Sao Tome and Principe,2
Armenia,2
Maldives,2
"Virgin Islands, British",2
Montenegro,2
Cameroon,2
Trinidad and Tobago,2
Mongolia,2
Isle of Man,2
Cayman Islands,2
Ghana,2
Libya,2
San Marino,2
Barbados,2
Senegal,2
Nicaragua,2
Botswana,2
Guyana,1
Cote D'Ivoire,1
Azerbaijan,1
Anguilla,1
Haiti,1
Mali,1
Suriname,1
Kuwait,1
Mauritania,1
Mauritius,1
Monaco,1
"France, Metropolitan",1
Mozambique,1
Angola,1
Niger,1
Kyrgyzstan,1
Uzbekistan,1
Jordan,1
Sri Lanka,1
Palestinian Territory,1
Djibouti,1
Congo,1
Rwanda,1
Benin,1
Lesotho,1
Bahamas,1
Sierra Leone,1
Fiji,1
Madagascar,1
"Congo, The Democratic Republic of the",1
